,OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
0,Android,US,Frisco,Unknown,female,1966,Every day,Not registered to vote,No,Very important,Somewhat worried,Only a little,A great deal,Summit County
1,iOS,US,Denver,Unknown,male,1961,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Boulder County
2,iOS,US,Denver,Unknown,female,1986,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Douglas County
3,Android,US,Denver,T-Mobile,male,1991,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Not very worried,A moderate amount,A moderate amount,Adams County
4,Android,US,Denver,Unknown,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Denver County
5,iOS,US,Denver,Unknown,female,2001,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
6,iOS,US,Pueblo,Verizon,male,1972,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A great deal,Pueblo County
7,Web,US,Denver,Unknown,female,2001,I never use Facebook or Instagram,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Not very worried,Only a little,A moderate amount,Denver County
8,iOS,US,Durango,Verizon,female,1985,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,La Plata County
9,iOS,US,Castle Rock,Unknown,male,1998,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,Douglas County
10,Android,US,Broomfield,Verizon,female,1990,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,Boulder County
11,Android,US,Denver,Verizon,female,1993,Less than once a month,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Jefferson County
12,iOS,US,Pagosa Springs,Verizon,female,1984,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,Only a little,A great deal,El Paso County
13,iOS,US,Colorado Springs,AT&T,female,1997,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A moderate amount,El Paso County
14,Web,US,Colorado Springs,Unknown,female,1958,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A great deal,A great deal,El Paso County
15,Android,US,Arvada,Unknown,male,1975,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Denver County
16,Android,US,Denver,Unknown,male,1999,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Not very worried,Only a little,A moderate amount,Denver County
17,Android,US,Denver,T-Mobile,female,1998,Every day,Not registered to vote,No,Very important,Not very worried,A moderate amount,Only a little,Denver County
18,Android,US,Brighton,Unknown,male,1980,I never use Facebook or Instagram,I don’t know,No,Very important,Somewhat worried,A moderate amount,A great deal,Weld County
19,Android,US,Greeley,Unknown,female,1989,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Not at all,Weld County
20,Android,US,Colorado Springs,Verizon,male,2003,Every day,Not registered to vote,No,Not too important,Somewhat worried,A moderate amount,Not at all,El Paso County
21,Android,US,Colorado Springs,Verizon,female,1977,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
22,Web,US,Denver,Unknown,female,1963,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Denver County
23,Web,US,Englewood,Unknown,male,1963,Once a week,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Arapahoe County
24,Web,US,Denver,Unknown,female,1997,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,A moderate amount,Arapahoe County
25,Web,US,Aurora,Unknown,male,1980,Once a week,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Somewhat important,Very worried,Only a little,A great deal,tonaly county
26,Android,US,Denver,Verizon,male,1984,Every day,I don’t know,Not sure,Somewhat important,Somewhat worried,Don’t know,Only a little,Adams County
27,Android,US,Westminster,Unknown,male,1990,Once a week,Not registered to vote,No,Somewhat important,Not very worried,A moderate amount,Only a little,Denver County
28,iOS,US,Colorado Springs,Verizon,male,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,El Paso County
29,iOS,US,Gypsum,Verizon,male,1969,I never use Facebook or Instagram,I don’t know,Not sure,Somewhat important,Somewhat worried,Only a little,A great deal,Eagle
30,Web,US,Denver,Unknown,female,1982,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,Only a little,Douglas County
31,Android,US,Pagosa Springs,Verizon,male,1969,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Fremont County
32,Android,US,Palisade,Sprint,male,1969,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Mesa County
33,Android,US,Aurora,AT&T,female,1969,I never use Facebook or Instagram,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,Only a little,Arapahoe County
34,Android,US,Denver,Unknown,female,1974,Every day,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
35,Android,US,Longmont,Unknown,female,1966,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
36,iOS,US,Fort Collins,Unknown,female,1955,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A great deal,A great deal,Larimer County
37,Android,US,Denver,Unknown,female,1985,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
38,iOS,US,Fort Collins,Unknown,female,2000,Less than once a month,Not registered to vote,Not sure,Extremely important,Very worried,A great deal,A great deal,Fort collins
39,Android,US,Denver,Sprint,female,1981,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Larimer County
40,Web,US,Golden,Unknown,male,1985,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A great deal,A great deal,Adams County
41,Android,US,Greeley,Verizon,female,1978,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Weld County
42,iOS,US,Denver,Unknown,female,2002,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
43,Android,US,Denver,Unknown,female,1995,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
44,Android,US,Granby,AT&T,male,1957,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
45,iOS,US,Denver,Unknown,male,1997,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
46,Web,US,Colorado Springs,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,Don’t know,Boulder County
47,iOS,US,Colorado Springs,Sprint,female,1989,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
48,Android,US,Denver,T-Mobile,female,1985,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
49,iOS,US,Denver,Unknown,female,1985,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Don’t know,Denver County
50,iOS,US,Colorado Springs,Unknown,female,2003,Once a week,I don’t know,No,Not at all important,Not very worried,Not at all,Don’t know,El Paso County
51,Web,US,Arvada,Unknown,female,1976,Once a month,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,Jefferson County
52,Web,US,Denver,Unknown,male,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,Only a little,A great deal,Jefferson County
53,Web,US,Greeley,Unknown,female,1957,Less than once a month,"Registered to vote, registered as Republican ",No,Very important,Not very worried,Don’t know,Don’t know,Weld County
54,iOS,US,Frederick,Unknown,male,2001,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Not very worried,A moderate amount,Only a little,Weld
55,Android,US,Durango,AT&T,female,1978,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,La Plata County
56,iOS,US,Pueblo,Unknown,male,1985,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Pueblo County
57,Web,US,Greeley,Unknown,male,1951,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Only a little,A moderate amount,Other
58,iOS,US,Arvada,T-Mobile,female,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not very worried,Not at all,Don’t know,Iron
59,Web,US,Westminster,Unknown,female,1976,Once a month,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A great deal,Jefferson County
60,Android,US,Englewood,Unknown,female,1966,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Arapahoe County
61,iOS,US,Colorado Springs,Unknown,female,1992,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A great deal,El Paso County
62,iOS,US,Denver,Sprint,male,1955,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A great deal,Denver County
63,Android,US,Brighton,AT&T,male,1992,Every day,I don’t know,"Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Don’t know,A great deal,Denver County
64,iOS,US,Hugo,Viaero,female,1960,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cheyenne
65,Android,US,Greeley,Unknown,female,1955,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Don’t know,A moderate amount,Weld County
66,iOS,US,Cañon City,T-Mobile,female,1981,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Not very worried,Only a little,A moderate amount,Fremont County
67,Android,US,Denver,AT&T,female,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A great deal,Denver County
68,Web,US,Commerce City,Unknown,female,1965,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,Only a little,Adams County
69,Android,US,Denver,AT&T,female,1966,Every day,I don’t know,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Weld County
70,Android,US,Denver,T-Mobile,male,1997,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Jefferson County
71,Web,US,Milliken,Unknown,male,1968,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Adams County
72,Android,US,Arvada,T-Mobile,female,1981,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,Only a little,Arapahoe County
73,iOS,US,Denver,Verizon,female,1989,Every day,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A great deal,A great deal,Denver County
74,Android,US,Denver,AT&T,male,1983,Every day,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,Not at all,A great deal,Jefferson County
75,Android,US,Sterling,Unknown,male,1959,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Logan County
76,Android,US,Denver,Sprint,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Adams County
77,Android,US,Greeley,AT&T,male,1980,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Boulder County
