Product,Year,5th pctl,10th pctl,Mean,Median,90th pctl,95th pctl
Wheat & Rye (Bread),2013,0.7,0.8,1.6,1.3,2.3,3.1
Maize (Meal),2013,0.7,0.7,1.7,1.2,2.3,3.5
Barley (Beer),2013,0.6,0.7,1.2,1.2,1.6,1.8
Oatmeal,2013,0.8,0.9,2.5,2.6,4.1,4.3
Rice,2013,1.2,1.5,4.5,3.7,8.8,10.3
Potatoes,2013,0.1,0.2,0.5,0.5,0.6,0.7
Cassava,2013,0.3,0.4,1.3,1.1,2.1,2.2
Cane Sugar,2013,0.6,0.9,3.2,3.2,5.1,5.6
Beet Sugar,2013,1,1.2,1.8,1.8,2.4,2.6
Other Pulses,2013,0.9,1,1.8,1.4,3.8,4
Peas,2013,0.5,0.6,1,0.8,1.7,1.9
Nuts,2013,-4,-3.7,0.4,-1.3,3.8,10.8
Groundnuts,2013,1.4,1.6,3.2,3.3,5.8,6.2
Soymilk,2013,0.5,0.6,1,0.9,1.5,1.7
Tofu,2013,1.4,1.6,3.2,2.6,5.6,7.3
Soybean Oil,2013,2.2,2.4,6.3,3.9,13.4,18.8
Palm Oil,2013,2.8,3.6,7.3,7.2,12,13.1
Sunflower Oil,2013,2.2,2.5,3.6,3.5,4.6,4.9
Rapeseed Oil,2013,2.2,2.5,3.8,3.5,4.6,7.2
Olive Oil,2013,2.1,2.9,5.4,5.1,7.6,10.8
Tomatoes,2013,0.4,0.4,2.1,0.7,6,12.6
Onions & Leeks,2013,0.3,0.3,0.5,0.4,0.8,0.8
Root Vegetables,2013,0.2,0.2,0.4,0.4,0.6,0.6
Brassicas,2013,0.2,0.2,0.5,0.4,1,1.2
Other Vegetables,2013,0.2,0.2,0.5,0.4,1,1.1
Citrus Fruit,2013,0,0.1,0.4,0.3,0.6,0.7
Bananas,2013,0.6,0.6,0.9,0.8,1.2,1.3
Apples,2013,0.3,0.3,0.4,0.4,0.6,0.6
Berries & Grapes,2013,0.6,0.8,1.5,1.4,2.7,2.9
Wine,2013,0.7,0.9,1.8,1.6,2.7,4.7
Other Fruit,2013,0.3,0.4,1.1,0.7,2.9,3
Coffee,2013,4.4,5.2,28.5,8.2,84.9,85.7
Dark Chocolate,2013,-4,-0.1,46.7,5,134.7,257.5
Bovine Meat (beef herd),2013,37.6,40.4,99.5,60.4,209.9,269.2
