STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SPECIES,Species,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,AMPHIBIAN,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,BIRD,,17,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,FISH_TOT,,8,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,FRESHW_F,,4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,INVERTEB,,30,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,MAMMAL,,9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,MARINE_F,,4,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,REPTILE,,9,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL,Critically endangered species,SPC,Species,VASCULAR_PLANT,,212,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ENV.EPI:DSD_WILD_LIFE@DF_WILD_LIFE(1.0),Threatened species,I,AUS,Australia,CRITICAL_IND,Critically endangered indigenous species,SPC,Species,AMPHIBIAN,,17,,A,Normal value,0,Units,1,One
