State,FIPS,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,01003,Baldwin,2019,271,237,34,0,0,0,0,80,52,37,0,0,220,0,51,0
Alabama,01027,Clay,2019,107,97,10,0,0,0,0,67,50,30,0,0,0,0,107,0
Alabama,01033,Colbert,2019,263,252,11,0,0,0,0,61,47,37,0,0,228,0,35,0
Alabama,01049,DeKalb,2019,361,324,37,0,0,0,0,90,51,39,0,0,331,0,30,0
Alabama,01051,Elmore,2019,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0,0
Alabama,01055,Etowah,2019,279,232,47,0,0,0,0,90,58,43,0,0,218,0,61,0
Alabama,01069,Houston,2019,280,256,24,0,0,0,0,77,50,35,0,0,208,0,72,0
Alabama,01073,Jefferson,2019,365,157,195,13,0,0,0,150,79,53,0,2,122,4,236,1
Alabama,,Lawrence,2019,112,111,1,0,0,0,0,53,38,24,0,0,0,0,112,0
Alabama,01089,Madison,2019,361,255,106,0,0,0,0,93,58,44,0,0,155,0,199,7
Alabama,01097,Mobile,2019,364,258,106,0,0,0,0,80,60,42,0,0,105,16,243,0
Alabama,01101,Montgomery,2019,365,171,193,1,0,0,0,122,67,52,0,0,50,0,314,1
Alabama,01103,Morgan,2019,365,306,59,0,0,0,0,93,54,41,0,0,195,0,170,0
Alabama,01113,Russell,2019,363,268,95,0,0,0,0,84,59,40,0,0,116,0,247,0
Alabama,01117,Shelby,2019,359,308,44,7,0,0,0,119,58,34,0,0,232,127,0,0
Alabama,01119,Sumter,2019,361,335,26,0,0,0,0,64,48,32,0,0,183,10,168,0
Alabama,01125,Tuscaloosa,2019,264,240,24,0,0,0,0,87,50,35,0,0,188,0,76,0
Alaska,,Aleutians East ,2019,121,121,0,0,0,0,0,47,22,10,0,0,0,0,121,0
Alaska,02020,Anchorage ,2019,365,289,67,5,4,0,0,160,63,27,8,0,0,0,252,105
Alaska,02050,Bethel ,2019,317,304,11,1,1,0,0,176,31,10,0,0,0,0,186,131
Alaska,02068,Denali ,2019,360,356,4,0,0,0,0,80,44,36,0,0,351,0,9,0
Alaska,02090,Fairbanks North Star ,2019,365,230,96,18,16,1,4,377,103,38,0,13,130,1,215,6
Alaska,02110,Juneau ,2019,362,308,51,3,0,0,0,145,55,20,0,0,0,0,335,27
Alaska,02122,Kenai Peninsula ,2019,118,115,2,1,0,0,0,140,21,8,0,0,0,0,118,0
Alaska,02170,Matanuska-Susitna ,2019,361,295,63,3,0,0,0,127,63,19,0,0,0,0,291,70
Alaska,,North Slope ,2019,110,109,1,0,0,0,0,65,11,5,0,0,0,0,110,0
Arizona,04001,Apache,2019,359,358,1,0,0,0,0,59,20,10,0,0,0,0,36,323
Arizona,04003,Cochise,2019,365,266,99,0,0,0,0,97,64,45,0,0,327,0,13,25
Arizona,04005,Coconino,2019,365,289,76,0,0,0,0,80,61,45,0,0,356,0,9,0
Arizona,04007,Gila,2019,365,145,164,50,6,0,0,187,110,60,0,0,254,104,0,7
Arizona,04012,La Paz,2019,364,304,60,0,0,0,0,77,58,44,0,0,360,0,3,1
Arizona,04013,Maricopa,2019,365,66,261,38,0,0,0,147,101,65,0,3,215,0,71,76
Arizona,04015,Mohave,2019,365,358,7,0,0,0,0,69,27,14,0,0,0,0,28,337
Arizona,04017,Navajo,2019,365,294,70,1,0,0,0,112,58,44,0,0,357,0,0,8
Arizona,04019,Pima,2019,365,225,138,2,0,0,0,103,71,47,0,1,261,0,20,83
Arizona,04021,Pinal,2019,365,123,209,21,2,3,7,886,100,63,0,0,168,0,36,161
Arizona,04023,Santa Cruz,2019,362,280,80,2,0,0,0,120,63,31,0,0,0,0,245,117
Arizona,04025,Yavapai,2019,357,299,58,0,0,0,0,87,54,43,0,0,355,0,2,0
Arizona,04027,Yuma,2019,365,265,97,3,0,0,0,129,67,45,0,0,273,0,42,50
Arkansas,05001,Arkansas,2019,118,101,17,0,0,0,0,77,53,30,0,0,0,0,118,0
Arkansas,05003,Ashley,2019,120,103,17,0,0,0,0,67,53,33,0,0,0,0,120,0
Arkansas,05007,Benton,2019,146,120,26,0,0,0,0,83,56,35,0,0,0,0,146,0
Arkansas,05019,Clark,2019,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0,0
Arkansas,05031,Craighead,2019,49,43,6,0,0,0,0,61,53,30,0,0,0,0,49,0
Arkansas,05035,Crittenden,2019,365,290,74,1,0,0,0,101,57,40,0,8,205,0,152,0
Arkansas,05051,Garland,2019,121,93,28,0,0,0,0,75,54,38,0,0,0,0,121,0
Arkansas,05067,Jackson,2019,117,102,15,0,0,0,0,74,54,34,0,0,0,0,117,0
Arkansas,05101,Newton,2019,365,347,18,0,0,0,0,90,47,36,0,0,358,0,7,0
Arkansas,05113,Polk,2019,361,312,48,1,0,0,0,119,54,39,0,0,314,0,47,0
Arkansas,05119,Pulaski,2019,365,235,130,0,0,0,0,79,61,45,0,2,146,0,217,0
Arkansas,05139,Union,2019,241,196,45,0,0,0,0,98,54,35,0,0,0,0,241,0
Arkansas,05143,Washington,2019,365,284,81,0,0,0,0,96,58,43,0,0,207,0,158,0
California,06001,Alameda,2019,365,260,97,8,0,0,0,150,63,41,0,28,175,0,162,0
California,06005,Amador,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0,0
California,06007,Butte,2019,365,224,136,3,2,0,0,173,67,46,0,0,231,0,133,1
California,06009,Calaveras,2019,360,299,60,1,0,0,0,108,58,42,0,0,322,0,35,3
California,06011,Colusa,2019,365,294,71,0,0,0,0,83,59,39,0,0,228,0,83,54
California,06013,Contra Costa,2019,365,292,69,4,0,0,0,129,61,40,0,4,244,0,116,1
California,06015,Del Norte,2019,248,236,12,0,0,0,0,71,43,20,0,0,0,0,248,0
California,06017,El Dorado,2019,365,273,86,6,0,0,0,122,74,43,0,0,355,0,1,9
California,06019,Fresno,2019,365,139,160,64,2,0,0,187,115,60,0,3,259,0,80,23
California,06021,Glenn,2019,362,302,60,0,0,0,0,86,55,40,0,0,277,0,68,17
California,06023,Humboldt,2019,363,353,10,0,0,0,0,65,40,27,2,1,272,0,50,38
California,06025,Imperial,2019,365,125,219,19,2,0,0,185,93,58,0,1,210,0,79,75
California,06027,Inyo,2019,365,232,121,6,2,1,3,638,84,47,0,0,319,0,14,32
California,06029,Kern,2019,365,119,151,87,6,1,1,548,122,67,0,2,260,0,73,30
California,06031,Kings,2019,365,152,172,37,2,0,2,507,105,56,0,0,190,0,103,72
California,06033,Lake,2019,360,360,0,0,0,0,0,50,41,31,0,0,356,0,3,1
California,06037,Los Angeles,2019,365,66,213,57,28,1,0,201,136,71,0,36,197,0,124,8
California,06039,Madera,2019,365,189,163,13,0,0,0,140,84,50,0,0,259,0,67,39
California,06041,Marin,2019,363,337,25,1,0,0,0,133,48,33,0,15,221,0,127,0
California,06043,Mariposa,2019,365,221,130,9,5,0,0,176,84,47,0,0,296,0,68,1
California,06045,Mendocino,2019,361,334,27,0,0,0,0,77,47,33,0,0,229,0,120,12
California,06047,Merced,2019,365,213,145,7,0,0,0,119,79,48,0,0,250,0,113,2
California,06051,Mono,2019,365,270,80,6,0,0,9,3852,81,27,0,0,0,0,305,60
California,06053,Monterey,2019,365,330,34,1,0,0,0,144,50,37,2,0,288,0,61,14
California,06055,Napa,2019,363,330,31,2,0,0,0,119,49,35,2,0,265,0,96,0
California,06057,Nevada,2019,361,273,83,5,0,0,0,122,71,44,0,0,326,0,35,0
California,06059,Orange,2019,365,216,133,15,1,0,0,172,87,48,0,13,262,0,83,7
California,06061,Placer,2019,365,239,117,9,0,0,0,136,77,45,0,2,284,0,77,2
California,06063,Plumas,2019,341,248,88,5,0,0,0,138,68,25,0,0,0,0,341,0
California,06065,Riverside,2019,365,75,170,91,29,0,0,185,147,77,0,0,247,0,70,48
California,06067,Sacramento,2019,365,213,142,10,0,0,0,140,84,46,0,1,240,0,116,8
California,06069,San Benito,2019,365,326,39,0,0,0,0,90,51,38,0,0,347,0,11,7
California,06071,San Bernardino,2019,365,55,177,71,54,8,0,213,169,80,0,16,246,0,96,7
California,06073,San Diego,2019,365,87,253,23,2,0,0,169,93,64,0,2,176,0,184,3
California,06075,San Francisco,2019,365,313,51,1,0,0,0,108,52,36,0,28,172,0,165,0
California,06077,San Joaquin,2019,365,231,122,11,1,0,0,190,80,44,0,3,236,0,109,17
