,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GDP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
0,Shanghai,2000,117.97385992188327,119.64298438806883,,,,0,-1.31
1,Yunnan,2000,52.971301280391174,53.22430723525932,,,,0,-1.31
2,InnerMongolia,2000,105.53675244375192,87.49352700146017,,,,1,-1.31
3,Beijing,2000,68.21902433036999,81.83945733511791,,,,1,-1.31
4,Jilin,2000,83.02949761951847,83.70588349385119,,,,1,-1.31
5,Sichuan,2000,105.03921245332428,103.81629819674214,,,,0,-1.31
6,Tianjin,2000,58.228004442111285,59.93193598658455,,,,0,-1.31
7,Ningxia,2000,0.8144065000000001,0.8144065000000001,,,,1,-1.31
8,Anhui,2000,118.73043641533133,116.87136139742596,,,,0,-1.31
9,Shandong,2000,194.78784514745007,194.7809956619978,,,,1,-1.31
10,Shanxi,2000,147.98507247346996,138.15136643143256,,,,1,-1.31
11,Guangdong,2000,199.6429443183436,201.54031131849032,,,,0,-1.31
12,Guangxi,2000,56.15794154155416,59.49795787016941,,,,0,-1.31
13,Xinjiang,2000,65.38733145308775,65.38733145308775,,,,1,-1.31
14,Jiangsu,2000,199.37488448753717,200.0269994595887,,,,0,-1.31
15,Jiangxi,2000,53.2645939829619,53.95540476949286,,,,0,-1.31
16,Hebei,2000,237.2997971859649,234.69550286490312,,,,1,-1.31
17,Henan,2000,162.08590361020842,163.56873999617432,,,,0,-1.31
18,Zhejiang,2000,131.4361321537445,136.18612446668715,,,,0,-1.31
19,Hainan,2000,8.741352140601455,8.741352140601455,,,,0,-1.31
20,Hubei,2000,136.7922614883594,134.5629509741716,,,,0,-1.31
21,Hunan,2000,77.31549570555876,80.35123788387483,,,,0,-1.31
22,Gansu,2000,54.31525581795303,57.36128314221943,,,,1,-1.31
23,Fujian,2000,56.39669225656246,56.309479847384125,,,,0,-1.31
24,Guizhou,2000,81.20479260953667,79.6354327227308,,,,0,-1.31
25,Liaoning,2000,212.95826197826813,232.0004835284621,,,,1,-1.31
26,Chongqing,2000,71.33935404897927,75.37137731406028,,,,0,-1.31
27,Shaanxi,2000,58.911781540042284,60.15374919631482,,,,1,-1.31
28,Qinghai,2000,12.102969145839587,11.92436877465529,,,,1,-1.31
29,Heilongjiang,2000,125.27183150539709,122.23167117177616,,,,1,-1.31
30,Shanghai,2001,122.54449885856738,129.71676359333438,1668.0,5257.7,,0,-0.71
31,Yunnan,2001,61.44856472851598,60.85831963433695,4287.0,2159.0,,0,-0.71
32,InnerMongolia,2001,115.79410864138875,96.05045190592253,2381.0,1713.8,,1,-0.71
33,Beijing,2001,77.3551276281555,99.17865740597513,1385.0,3861.5,,1,-0.71
34,Jilin,2001,89.05653207059567,88.71484778915784,2691.0,1900.9,,1,-0.71
35,Sichuan,2001,108.8051738183267,102.71052638938143,8143.0,4293.5,,0,-0.71
36,Tianjin,2001,60.35520241699159,62.89192086972054,1004.0,1756.9,,0,-0.71
37,Ningxia,2001,0.9261131400000001,0.9261131400000001,563.0,337.4,,1,-0.71
38,Anhui,2001,126.99979596307318,122.93217045380919,6128.0,3502.8,,0,-0.71
39,Shandong,2001,232.68220318848913,232.66675383390827,9041.0,9076.2,,1,-0.71
40,Shanxi,2001,184.1974549860176,171.40359978103055,3272.0,2029.5,,1,-0.71
41,Guangdong,2001,210.02549869215298,216.26529466441443,8733.0,12126.6,,0,-0.71
42,Guangxi,2001,56.14195953182783,59.623198648543834,4788.0,2279.3,,0,-0.71
43,Xinjiang,2001,53.50272176300631,53.50272176300631,1876.0,1491.6,,1,-0.71
44,Jiangsu,2001,191.63634620754175,196.1460853399468,7359.0,9456.8,,0,-0.71
45,Jiangxi,2001,57.98235171479726,58.581454567510725,4186.0,2175.7,,0,-0.71
46,Hebei,2001,251.4884625449733,246.96580328097218,6699.0,5062.9,,1,-0.71
47,Henan,2001,181.329775724849,182.58787636247098,9555.0,5533.0,,0,-0.71
48,Zhejiang,2001,142.8748865052222,149.66017796838975,4729.0,6927.7,,0,-0.71
49,Hainan,2001,9.162028011844523,9.162028011844523,796.0,579.2,,0,-0.71
50,Hubei,2001,135.20562660026394,132.73559977931654,5658.0,3880.5,,0,-0.71
51,Hunan,2001,85.36415498648279,88.57656359843232,6596.0,3831.9,,0,-0.71
52,Gansu,2001,56.07494971510189,58.0156438005452,2523.0,1125.4,,1,-0.71
53,Fujian,2001,56.413464957758514,56.18926934155116,3445.0,4072.9,,0,-0.71
54,Guizhou,2001,82.87431197968175,81.29145800189387,3799.0,1133.3,,0,-0.71
55,Liaoning,2001,205.5101885343827,220.27083769509687,4194.0,5033.1,,1,-0.71
56,Chongqing,2001,65.24425431944864,70.65174398506062,2829.0,2014.6,,0,-0.71
57,Shaanxi,2001,68.37398501087499,69.70559501013251,3653.0,2010.6,,1,-0.71
58,Qinghai,2001,14.723925847764285,13.950414937064584,523.0,300.1,,1,-0.71
59,Heilongjiang,2001,121.06351505195354,122.26054684689768,3811.0,3043.4,,1,-0.71
60,Shanghai,2002,128.4338561705249,132.88339622362514,1713.0,5795.0,,0,0.55
61,Yunnan,2002,72.2917480273624,70.75365220678364,4333.0,2358.7,,0,0.55
62,InnerMongolia,2002,127.06814132037913,105.91809151973976,2384.0,1940.9,,1,0.55
63,Beijing,2002,77.88474709609834,102.91477867530135,1423.0,4525.7,,1,0.55
64,Jilin,2002,92.20486623672102,91.72276711562387,2699.0,2043.1,,1,0.55
65,Sichuan,2002,124.02120992188193,121.65389102899627,8110.0,4725.0,,0,0.55
66,Tianjin,2002,65.13892489698871,65.6255593016003,1007.0,1926.9,,0,0.55
67,Ningxia,2002,1.08754144,1.08754144,572.0,377.2,,1,0.55
68,Anhui,2002,112.75504656468638,112.22300103463128,6144.0,3827.7,,0,0.55
69,Shandong,2002,258.776056761652,258.7331974649613,9082.0,10076.5,,1,0.55
70,Shanxi,2002,221.39320854292248,203.89743009666688,3294.0,2324.8,,1,0.55
71,Guangdong,2002,231.46376760719946,242.593144666299,8842.0,13601.9,,0,0.55
72,Guangxi,2002,56.50666253823719,60.55941804107435,4822.0,2523.7,,0,0.55
73,Xinjiang,2002,69.73357043556369,69.73357043556369,1905.0,1612.6,,1,0.55
74,Jiangsu,2002,220.08443803348965,228.83427567198672,7406.0,10606.9,,0,0.55
75,Jiangxi,2002,63.26416747085795,63.24643841681679,4222.0,2450.5,,0,0.55
76,Hebei,2002,284.4472246787627,280.59542115553626,6735.0,5518.9,,1,0.55
77,Henan,2002,194.31931548256628,196.32641839342122,9613.0,6035.5,,0,0.55
78,Zhejiang,2002,156.47916717453498,169.68763923061422,4776.0,8040.7,,0,0.55
79,Hainan,2002,1.0093991,1.0093991,803.0,642.7,,0,0.55
80,Hubei,2002,154.22448004573533,153.0293899275262,5672.0,4212.8,,0,0.55
81,Hunan,2002,92.08071390288892,94.51334779758686,6629.0,4151.5,,0,0.55
82,Gansu,2002,58.977270700191646,59.17219568279165,2531.0,1232.0,,1,0.55
83,Fujian,2002,67.30376703162496,65.79096557011093,3476.0,4467.6,,0,0.55
84,Guizhou,2002,86.3174581702412,83.81508609114678,3837.0,1243.4,,0,0.55
85,Liaoning,2002,220.6850985906555,231.18717636523144,4203.0,5458.2,,1,0.55
86,Chongqing,2002,69.96443816018498,76.27821628900355,2814.0,2279.8,,0,0.55
87,Shaanxi,2002,76.26400004649521,77.31296493008253,3662.0,2253.4,,1,0.55
88,Qinghai,2002,15.733338073773536,15.877380644597434,529.0,340.7,,1,0.55
89,Heilongjiang,2002,117.87010483695448,118.33276100560222,3813.0,3242.7,,1,0.55
90,Shanghai,2003,136.9787536912782,144.18533350552607,1766.0,6804.0,,0,0.07
91,Yunnan,2003,88.80736797969766,85.43920595915561,4376.0,2633.4,,0,0.07
92,InnerMongolia,2003,149.3258877784741,124.01757012721859,2386.0,2388.4,,1,0.07
93,Beijing,2003,81.9517504582966,108.68799789063848,1456.0,5267.2,,1,0.07
94,Jilin,2003,134.30826291373285,136.4096133800253,2704.0,2141.0,,1,0.07
95,Sichuan,2003,157.16554759088152,154.3643958507248,8176.0,5346.2,,0,0.07
96,Tianjin,2003,66.20120187996967,65.68367963456718,1011.0,2257.8,,0,0.07
