,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GRP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
0,Shanghai,2000,117.97,119.64,,,,0,-1.31
1,Yunnan,2000,52.97,53.22,,,,0,-1.31
2,InnerMongolia,2000,105.54,87.49,,,,1,-1.31
3,Beijing,2000,68.22,81.84,,,,1,-1.31
4,Jilin,2000,83.03,83.71,,,,1,-1.31
5,Sichuan,2000,105.04,103.82,,,,0,-1.31
6,Tianjin,2000,58.23,59.93,,,,0,-1.31
7,Ningxia,2000,0.81,0.81,,,,1,-1.31
8,Anhui,2000,118.73,116.87,,,,0,-1.31
9,Shandong,2000,194.79,194.78,,,,1,-1.31
10,Shanxi,2000,147.99,138.15,,,,1,-1.31
11,Guangdong,2000,199.64,201.54,,,,0,-1.31
12,Guangxi,2000,56.16,59.5,,,,0,-1.31
13,Xinjiang,2000,65.39,65.39,,,,1,-1.31
14,Jiangsu,2000,199.37,200.03,,,,0,-1.31
15,Jiangxi,2000,53.26,53.96,,,,0,-1.31
16,Hebei,2000,237.3,234.7,,,,1,-1.31
17,Henan,2000,162.09,163.57,,,,0,-1.31
18,Zhejiang,2000,131.44,136.19,,,,0,-1.31
19,Hainan,2000,8.74,8.74,,,,0,-1.31
20,Hubei,2000,136.79,134.56,,,,0,-1.31
21,Hunan,2000,77.32,80.35,,,,0,-1.31
22,Gansu,2000,54.32,57.36,,,,1,-1.31
23,Fujian,2000,56.4,56.31,,,,0,-1.31
24,Guizhou,2000,81.2,79.64,,,,0,-1.31
25,Liaoning,2000,212.96,232.0,,,,1,-1.31
26,Chongqing,2000,71.34,75.37,,,,0,-1.31
27,Shaanxi,2000,58.91,60.15,,,,1,-1.31
28,Qinghai,2000,12.1,11.92,,,,1,-1.31
29,Heilongjiang,2000,125.27,122.23,,,,1,-1.31
30,Shanghai,2001,122.54,129.72,1668.0,5257.7,,0,-0.71
31,Yunnan,2001,61.45,60.86,4287.0,2159.0,,0,-0.71
32,InnerMongolia,2001,115.79,96.05,2381.0,1713.8,,1,-0.71
33,Beijing,2001,77.36,99.18,1385.0,3861.5,,1,-0.71
34,Jilin,2001,89.06,88.71,2691.0,1900.9,,1,-0.71
35,Sichuan,2001,108.81,102.71,8143.0,4293.5,,0,-0.71
36,Tianjin,2001,60.36,62.89,1004.0,1756.9,,0,-0.71
37,Ningxia,2001,0.93,0.93,563.0,337.4,,1,-0.71
38,Anhui,2001,127.0,122.93,6128.0,3502.8,,0,-0.71
39,Shandong,2001,232.68,232.67,9041.0,9076.2,,1,-0.71
40,Shanxi,2001,184.2,171.4,3272.0,2029.5,,1,-0.71
41,Guangdong,2001,210.03,216.27,8733.0,12126.6,,0,-0.71
42,Guangxi,2001,56.14,59.62,4788.0,2279.3,,0,-0.71
43,Xinjiang,2001,53.5,53.5,1876.0,1491.6,,1,-0.71
44,Jiangsu,2001,191.64,196.15,7359.0,9456.8,,0,-0.71
45,Jiangxi,2001,57.98,58.58,4186.0,2175.7,,0,-0.71
46,Hebei,2001,251.49,246.97,6699.0,5062.9,,1,-0.71
47,Henan,2001,181.33,182.59,9555.0,5533.0,,0,-0.71
48,Zhejiang,2001,142.87,149.66,4729.0,6927.7,,0,-0.71
49,Hainan,2001,9.16,9.16,796.0,579.2,,0,-0.71
50,Hubei,2001,135.21,132.74,5658.0,3880.5,,0,-0.71
51,Hunan,2001,85.36,88.58,6596.0,3831.9,,0,-0.71
52,Gansu,2001,56.07,58.02,2523.0,1125.4,,1,-0.71
53,Fujian,2001,56.41,56.19,3445.0,4072.9,,0,-0.71
54,Guizhou,2001,82.87,81.29,3799.0,1133.3,,0,-0.71
55,Liaoning,2001,205.51,220.27,4194.0,5033.1,,1,-0.71
56,Chongqing,2001,65.24,70.65,2829.0,2014.6,,0,-0.71
57,Shaanxi,2001,68.37,69.71,3653.0,2010.6,,1,-0.71
58,Qinghai,2001,14.72,13.95,523.0,300.1,,1,-0.71
59,Heilongjiang,2001,121.06,122.26,3811.0,3043.4,,1,-0.71
60,Shanghai,2002,128.43,132.88,1713.0,5795.0,,0,0.55
61,Yunnan,2002,72.29,70.75,4333.0,2358.7,,0,0.55
62,InnerMongolia,2002,127.07,105.92,2384.0,1940.9,,1,0.55
63,Beijing,2002,77.88,102.91,1423.0,4525.7,,1,0.55
64,Jilin,2002,92.2,91.72,2699.0,2043.1,,1,0.55
65,Sichuan,2002,124.02,121.65,8110.0,4725.0,,0,0.55
66,Tianjin,2002,65.14,65.63,1007.0,1926.9,,0,0.55
67,Ningxia,2002,1.09,1.09,572.0,377.2,,1,0.55
68,Anhui,2002,112.76,112.22,6144.0,3827.7,,0,0.55
69,Shandong,2002,258.78,258.73,9082.0,10076.5,,1,0.55
70,Shanxi,2002,221.39,203.9,3294.0,2324.8,,1,0.55
71,Guangdong,2002,231.46,242.59,8842.0,13601.9,,0,0.55
72,Guangxi,2002,56.51,60.56,4822.0,2523.7,,0,0.55
73,Xinjiang,2002,69.73,69.73,1905.0,1612.6,,1,0.55
74,Jiangsu,2002,220.08,228.83,7406.0,10606.9,,0,0.55
75,Jiangxi,2002,63.26,63.25,4222.0,2450.5,,0,0.55
76,Hebei,2002,284.45,280.6,6735.0,5518.9,,1,0.55
77,Henan,2002,194.32,196.33,9613.0,6035.5,,0,0.55
78,Zhejiang,2002,156.48,169.69,4776.0,8040.7,,0,0.55
79,Hainan,2002,1.01,1.01,803.0,642.7,,0,0.55
80,Hubei,2002,154.22,153.03,5672.0,4212.8,,0,0.55
81,Hunan,2002,92.08,94.51,6629.0,4151.5,,0,0.55
82,Gansu,2002,58.98,59.17,2531.0,1232.0,,1,0.55
83,Fujian,2002,67.3,65.79,3476.0,4467.6,,0,0.55
84,Guizhou,2002,86.32,83.82,3837.0,1243.4,,0,0.55
85,Liaoning,2002,220.69,231.19,4203.0,5458.2,,1,0.55
86,Chongqing,2002,69.96,76.28,2814.0,2279.8,,0,0.55
87,Shaanxi,2002,76.26,77.31,3662.0,2253.4,,1,0.55
88,Qinghai,2002,15.73,15.88,529.0,340.7,,1,0.55
89,Heilongjiang,2002,117.87,118.33,3813.0,3242.7,,1,0.55
90,Shanghai,2003,136.98,144.19,1766.0,6804.0,,0,0.07
91,Yunnan,2003,88.81,85.44,4376.0,2633.4,,0,0.07
92,InnerMongolia,2003,149.33,124.02,2386.0,2388.4,,1,0.07
93,Beijing,2003,81.95,108.69,1456.0,5267.2,,1,0.07
94,Jilin,2003,134.31,136.41,2704.0,2141.0,,1,0.07
95,Sichuan,2003,157.17,154.36,8176.0,5346.2,,0,0.07
96,Tianjin,2003,66.2,65.68,1011.0,2257.8,,0,0.07
97,Ningxia,2003,55.31,57.17,580.0,442.6,,1,0.07
98,Anhui,2003,168.01,155.33,6163.0,4307.8,,0,0.07
99,Shandong,2003,325.0,325.0,9125.0,10903.2,,1,0.07
100,Shanxi,2003,251.75,232.8,3314.0,2854.3,,1,0.07
101,Guangdong,2003,261.71,279.28,8963.0,15979.8,,0,0.07
102,Guangxi,2003,66.73,71.94,4857.0,2798.2,,0,0.07
103,Xinjiang,2003,77.2,77.2,1934.0,1889.2,,1,0.07
104,Jiangsu,2003,250.79,269.17,7458.0,12442.9,,0,0.07
105,Jiangxi,2003,75.94,74.31,4254.0,2812.7,,0,0.07
106,Hebei,2003,328.59,329.69,6769.0,6333.6,,1,0.07
107,Henan,2003,215.67,218.81,9667.0,6942.4,,0,0.07
108,Zhejiang,2003,178.41,194.5,4857.0,9753.4,,0,0.07
109,Hainan,2003,15.58,15.58,811.0,714.0,,0,0.07
110,Hubei,2003,165.21,160.86,5685.0,4757.5,,0,0.07
111,Hunan,2003,104.86,106.71,6663.0,4660.0,,0,0.07
112,Gansu,2003,66.99,68.13,2537.0,1399.9,,1,0.07
113,Fujian,2003,82.78,81.84,3502.0,4999.6,,0,0.07
114,Guizhou,2003,110.07,105.07,3870.0,1429.0,,0,0.07
115,Liaoning,2003,236.75,245.64,4210.0,5906.3,,1,0.07
116,Chongqing,2003,68.39,76.24,2803.0,2615.6,,0,0.07
117,Shaanxi,2003,86.25,84.02,3672.0,2587.7,,1,0.07
118,Qinghai,2003,17.64,19.54,534.0,385.0,,1,0.07
119,Heilongjiang,2003,129.59,129.39,3815.0,3609.7,,1,0.07
120,Shanghai,2004,148.72,150.76,1835.0,8101.6,3.66,0,0.92
121,Yunnan,2004,58.71,58.97,4415.0,3136.4,33.64,0,0.92
122,InnerMongolia,2004,207.34,177.44,2393.0,2942.4,12.73,1,0.92
123,Beijing,2004,88.13,118.16,1493.0,6252.5,18.93,1,0.92
124,Jilin,2004,112.31,110.96,2709.0,2455.2,37.43,1,0.92
125,Sichuan,2004,175.05,171.86,8090.0,6304.0,23.5,0,0.92
126,Tianjin,2004,78.28,79.04,1024.0,2621.1,7.47,0,0.92
127,Ningxia,2004,65.76,63.63,588.0,519.9,2.2,1,0.92
128,Anhui,2004,153.81,146.08,6228.0,5129.1,22.95,0,0.92
129,Shandong,2004,397.75,397.75,9180.0,13308.1,12.58,1,0.92
130,Shanxi,2004,267.88,247.51,3335.0,3496.0,11.72,1,0.92
131,Guangdong,2004,296.95,325.84,9111.0,18658.3,45.81,0,0.92
132,Guangxi,2004,86.57,94.97,4889.0,3305.1,34.37,0,0.92
133,Xinjiang,2004,90.24,90.24,1963.0,2170.4,1.08,1,0.92
134,Jiangsu,2004,311.63,333.88,7523.0,14823.1,4.51,0,0.92
135,Jiangxi,2004,89.24,89.39,4284.0,3398.1,53.37,0,0.92
136,Hebei,2004,374.21,377.72,6809.0,7588.6,18.08,1,0.92
137,Henan,2004,277.55,280.35,9717.0,8411.2,12.52,0,0.92
138,Zhejiang,2004,217.99,234.87,4925.0,11482.1,50.8,0,0.92
139,Hainan,2004,17.15,17.15,818.0,802.7,39.56,0,0.92
140,Hubei,2004,182.23,169.44,5698.0,5546.8,25.98,0,0.92
141,Hunan,2004,125.34,128.16,6698.0,5542.6,38.9,0,0.92
142,Gansu,2004,77.86,79.62,2541.0,1653.6,4.83,1,0.92
143,Fujian,2004,100.2,100.84,3529.0,5712.1,60.52,0,0.92
144,Guizhou,2004,128.61,120.45,3904.0,1649.4,20.81,0,0.92
145,Liaoning,2004,250.24,268.37,4217.0,6469.8,30.95,1,0.92
146,Chongqing,2004,68.27,77.85,2793.0,3059.5,,0,0.92
147,Shaanxi,2004,107.68,105.37,3681.0,3141.6,28.74,1,0.92
148,Qinghai,2004,19.03,18.77,539.0,443.7,0.43,1,0.92
149,Heilongjiang,2004,140.19,135.76,3817.0,4134.7,38.72,1,0.92
150,Shanghai,2005,158.94,177.06,1890.0,9197.1,3.17,0,-0.85
151,Yunnan,2005,133.12,129.4,4450.0,3497.7,40.77,0,-0.85
152,InnerMongolia,2005,240.5,202.62,2403.0,3523.7,17.7,1,-0.85
153,Beijing,2005,92.12,126.92,1538.0,7149.8,21.26,1,-0.85
154,Jilin,2005,143.44,137.68,2716.0,2776.5,38.13,1,-0.85
155,Sichuan,2005,170.08,167.3,8212.0,7195.9,30.27,0,-0.85
156,Tianjin,2005,88.98,90.94,1043.0,3158.6,8.14,0,-0.85
157,Ningxia,2005,51.73,51.59,596.0,579.9,6.08,1,-0.85
158,Anhui,2005,156.67,151.16,6120.0,5675.9,24.03,0,-0.85
159,Shandong,2005,556.52,556.55,9248.0,15947.5,13.44,1,-0.85
160,Shanxi,2005,290.03,258.95,3355.0,4079.4,13.29,1,-0.85
161,Guangdong,2005,341.85,383.59,9194.0,21963.0,46.49,0,-0.85
