survey_id,survey_name,language,last_connection_date,week_of_last_connection,start_time_of_last_connectio,duration_of_connection_in_seconds,duration_of_connection_in_minutes,last_question_filled,number_of_connections,disposition,total_duration_in_sec,device,device_os,survey_link,person_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
40892,DTP001,en,20210618,5,20:50:11,0,0,Q1_INTRO,2,2,8,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfOEL3mUo8rvxoZ7BT1jVgMLl81EFUNGm64SxfxiwNLLK,3384205,,,,,,,
64949,DTP001,en,20210621,1,06:45:49,0,0,Q1_INTRO,2,2,58,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJnYcp9gu1xeJ2hCwGtk3fOhiCWPTuYqldWu5AD9DGCI,18049826,,,,,,,
1022,DTP001,en,20210619,6,14:28:04,0,0,Q1_INTRO,4,2,7,Desktop,Linux,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfIog0gBzv8TL29rv8h14fKY1cMTHlWViHnKUg2zT3rbU,17042771,,,,,,,
7951,DTP001,en,20210619,6,14:19:53,0,0,Q1_INTRO,2,2,130,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfG%2F2ItmUbBU8fQiIq0Rw1cIt5ckNxbHSIuSJIsmxsGOP,17781877,,,,,,,
63284,DTP001,en,20210614,1,18:31:45,0,0,Q1_INTRO,4,2,28,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfJ8dP2AXKOAp8XeuEM01w%2FCBmCuZIp8B6x1qYl52qXvW,2552246,,,,,,,
55697,DTP001,en,20210622,2,09:51:37,0,0,Q1_INTRO,2,2,23,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfP%2FB4xwOMd%2B3lcNzxLsaNNQMWveuRtTUtRZ%2Bz9uycp3J,708,,,,,,,
47644,DTP001,en,20210616,3,10:05:30,0,0,Q1_INTRO,2,2,26,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfEwfUVHzlMVLyUuf2C94SHx5euEADU7uWQmNLTo76k9i,15230857,,,,,,,
30980,DTP001,en,20210622,2,18:49:47,0,0,Q1_INTRO,2,2,16,Unknown,Not A Device,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfK0F95AtKdluV96MFf8fkWqENSAjOj666x3fZbdUUsaj,109377,,,,,,,
41369,DTP001,en,20210616,3,13:37:04,0,0,Q1_INTRO,5,2,9,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfBsQVS6u94phUVovzSWzT6wJRM9r2fyzAF5P%2FJmjmdXV,793518,,,,,,,
8232,DTP001,en,20210619,6,14:32:27,0,0,Q1_INTRO,2,2,41,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfA%2B0dzJ4XWEo0aLAg1fKQhA2ewF3PxDakCFZOAiLS%2F0r,4768372,,,,,,,
