"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-01","58",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-02","58",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-03","57",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-04","56",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-05","55",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-06","52",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-07","48",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-08","47",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-09","49",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-10","51",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-11","50",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-12","51",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-13","53",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-14","52",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-15","51",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-16","52",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-17","55",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-18","54",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-19","55",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-20","55",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-21","56",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-22","54",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-23","58",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-24","53",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-25","53",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-26","56",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-27","53",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-28","51",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-29","52",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-30","53",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-01-31","55",,
