,publisher,short_journal_title,issue,volume,title,page,DOI,is_referenced_by_count,references_count,first_author_given_name,first_author_family_name,issued_year,issued_month,issued_day
0,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),1,7,Monte Carlo Simulation for a Groundwater Mixing Model in Soil Remediation of Tetrachloroethylene,87-102,10.1080/10588339891334177,6,0,Yue,Rong,1998,1.0,1.0
1,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),1,7,Retention Form of Heavy Metals in Three Polluted Soils,103-119,10.1080/10588339891334186,19,0,S. A.,Wasay,1998,1.0,1.0
2,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),2,13,Complex NAPL Site Characterization Using Fluorescence Part 2: Analysis of Soil Matrix Effects on the Excitation/Emission Matrix,119-134,10.1080/10588330490278048,0,0,MARK,KRAM,2004,3.0,1.0
3,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),1,7,Total Petroleum Hydrocarbon Criteria Working Group: A Risk-Based Approach for the Management of Total Petroleum Hydrocarbons In Soil,1-15,10.1080/10588339891334168,12,0,Wade H.,Weisman,1998,1.0,1.0
4,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),2,13,Complex NAPL Site Characterization Using Fluorescence Part 3: Detection Capabilities for Specific Excitation Sources,135-148,10.1080/10588330490278057,0,0,MARK,KRAM,2004,3.0,1.0
5,Informa UK Limited,Journal of Soil Contamination,4,8,Potential of Soil and Groundwater Contamination Due to Mine Subsidence Under a Landfill,441-453,10.1080/10588339991339405,1,0,Sanjeev,Kumar,1999,7.0,
6,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),3,11,Kinetics of Heat-Assisted Persulfate Oxidation of Methyl tert -Butyl Ether (MTBE),447-448,10.1080/20025891107708,0,0,Kun-Chang,Huang,2002,5.0,1.0
11,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),3,11,Development of Area-Weighted EPCs for Lead at Small Arms Firing Ranges in a Risk Assessment,467-467,10.1080/20025891107924,0,0,Genevieve M.,DiMundo,2002,5.0,1.0
20,Informa UK Limited,Journal of Soil Contamination,3,1,Editor's Note,196-196,10.1080/15320389209383410,1,0,,,1992,1.0,
49,Informa UK Limited,Soil and Sediment Contamination (formerly Journal of Soil Contamination),2,13,Complex NAPL Site Characterization Using Fluorescence Part 1: Selection of Excitation Wavelength Based on NAPL Composition,103-118,10.1080/10588330490278039,0,0,MARK,KRAM,2004,3.0,1.0
57,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,10,Co-Composting of Residual Fuel Contamination in Soil,659-673,10.1080/20015891109482,9,0,Turlough F.,Guerin,2001,11.0,
58,Informa UK Limited,Journal of Soil Contamination,5,6,Soil contamination from oil lakes in northern Kuwait,481-494,10.1080/15320389709383581,8,4,M. N.,Al‐Senafy,1997,9.0,
59,Informa UK Limited,Journal of Soil Contamination,4,4,Acknowledgment (volume 4),311-311,10.1080/15320389509383502,0,0,,,1995,10.0,
60,Informa UK Limited,Soil and Sediment Contamination: An International Journal,1,13,Identifying Metals Contamination in Soil: A Geochemical Approach,1-16,10.1080/10588330490269732,40,13,JONATHAN,MYERS,2004,1.0,
61,Informa UK Limited,Journal of Soil Contamination,6,6,Preface,557-559,10.1080/15320389709383588,1,0,Brent L.,Finley,1997,11.0,
62,Informa UK Limited,Soil and Sediment Contamination: An International Journal,3,21,Evaluating “Hot Spots” of Soil Contamination (Redux),335-350,10.1080/15320383.2012.664431,7,26,Paul W.,Hadley,2012,4.0,
63,Informa UK Limited,Journal of Soil Contamination,2,9,Organic Contamination in Soils Associated with Cemeteries,87-97,10.1080/10588330008984177,18,14,Alison L.,Spongberg,2000,1.0,
64,Informa UK Limited,Journal of Soil Contamination,1,2,Screening site contamination usina pathway exposure factors,93-108,10.1080/15320389309383430,3,6,Jane,Hixson,1993,1.0,
65,Informa UK Limited,Journal of Soil Contamination,1,1,Soil ingestion in children: Outdoor soil or indoor dust?,1-28,10.1080/15320389209383400,23,9,Edward J.,Stanek,1992,1.0,
66,Informa UK Limited,Journal of Soil Contamination,1,2,An Eh‐pH reactor that simulates soil‐groundwater systems,27-36,10.1080/15320389309383427,5,7,James,Dragun,1993,1.0,
67,Informa UK Limited,Journal of Soil Contamination,1,1,The use of environmental media evaluation guides for screening environmental contamination,95-101,10.1080/15320389209383405,0,9,Kenneth G.,Orloff,1992,1.0,
68,Informa UK Limited,Journal of Soil Contamination,5,6,Pilot study to determine levels of contamination in indoor dust resulting from contamination of soils,525-536,10.1080/15320389709383584,11,12,Eugene,Rutz,1997,9.0,
69,Informa UK Limited,Journal of Soil Contamination,2,4,Chemical aspects of cold‐mix asphalt incorporating contaminated soil,191-207,10.1080/15320389509383492,5,28,Stephen M.,Testa,1995,4.0,
70,Informa UK Limited,Journal of Soil Contamination,2,4,Potential for bioremediation of fuel‐contaminated soil in Antarctica,111-121,10.1080/15320389509383486,21,26,Lois J.,Wardell,1995,4.0,
71,Informa UK Limited,Soil and Sediment Contamination: An International Journal,4,16,Identification of Metals Contamination in Firing-Range Soil Using Geochemical Correlation Evaluation,337-349,10.1080/15320380701404391,4,30,Karen,Thorbjornsen,2007,5.0,25.0
72,Informa UK Limited,Soil and Sediment Contamination: An International Journal,6,23,"Characterization of Soil Contamination in Miduk Mining District, SW Iran",614-627,10.1080/15320383.2014.856856,7,38,Farid,Moore,2014,1.0,
73,Informa UK Limited,Soil and Sediment Contamination: An International Journal,7,27,"Assessment of Heavy Metals Contamination in Agricultural Soil of Southwestern Nile Delta, Egypt",619-642,10.1080/15320383.2018.1498445,28,56,Moataz,Khalifa,2018,7.0,19.0
74,Informa UK Limited,Journal of Soil Contamination,2,4,<i>In situ</i> bioremediation of hydrocarbon in soil,163-173,10.1080/15320389509383490,13,7,Katalin,Gruiz,1995,4.0,
75,Informa UK Limited,Journal of Soil Contamination,3,4,A fugacity model for soil vapor extraction,227-242,10.1080/15320389509383496,2,15,Yuanyin,She,1995,7.0,
